gender,age,ingroup.value,ingroup.like,ingroup.connected,outgroup.value,outgroup.like,outgroup.connected,ingroup.average,outgroup.average,condition,rating
1,21,78.49,86.79,75.28,21.51,22.64,23.02,60.37333333,-55.22,neutral.baseline,61.89
1,32,100,100,100,31.51,30.94,29.62,100,-38.62,ingroup.cogload,100
1,19,89.08,88.89,89.83,12.43,13.94,9.42,78.53333333,-76.14,neutral.cogload,80.41
1,23,34.34,35.28,50.57,33.4,33.96,15.47,-19.87333333,-44.78,ingroup.baseline,41.13
1,25,70.38,87.74,91.32,32.26,22.83,5.28,66.29333333,-59.75333333,ingroup.cogload,55.47
1,30,79.81,79.06,70.94,0,0,0,53.20666667,-100,neutral.cogload,41.13
1,40,75.09,75.09,74.15,60,60.19,62.45,49.55333333,21.76,outgroup.baseline,78.49
1,31,32.64,31.51,33.21,0,0,0,-35.09333333,-100,ingroup.baseline,52.83
1,46,100,100,100,77.02,77.4,77.97,100,54.92666667,outgroup.cogload,-31.83
1,39,61.7,63.21,62.08,38.87,39.43,40.19,24.66,-21.00666667,ingroup.baseline,9.43
1,27,95.28,90.57,93.58,12.64,7.36,8.3,86.28666667,-81.13333333,neutral.baseline,49.81
1,41,83.02,79.06,81.32,50,40.57,43.02,62.26666667,-10.94,outgroup.baseline,82.64
1,32,86.04,92.83,88.3,30.57,23.21,0,78.11333333,-64.14666667,neutral.cogload,15.85
1,24,86.92,88.08,87.5,21.54,16.54,7.69,75,-69.48666667,ingroup.baseline,81.1
1,22,22.26,40,28.49,11.13,8.11,8.11,-39.5,-81.76666667,outgroup.cogload,49.43
1,44,71.37,75.18,80.76,36.27,37.89,28.34,51.54,-31.66666667,neutral.cogload,16.01
1,47,50,32.08,17.74,34.34,35.09,0,-33.45333333,-53.71333333,ingroup.cogload,40.38
1,23,60.57,37.55,31.51,66.23,45.28,24.34,-13.58,-9.433333333,ingroup.cogload,41.13
1,32,50,50,50,3.65,18.27,8.27,0,-79.87333333,outgroup.baseline,0.57
1,31,59.32,59.13,58.38,22.79,23.73,0,17.88666667,-68.98666667,ingroup.baseline,100
1,53,86.42,89.25,89.25,7.36,7.55,7.74,76.61333333,-84.9,ingroup.baseline,57.2
1,48,42.94,57.63,36.53,32.96,32.58,29.94,-8.6,-36.34666667,neutral.baseline,36.72
1,34,21.13,50,50,28.49,50,50,-19.24666667,-14.34,neutral.baseline,18.87
1,28,81.32,71.51,78.68,30,5.28,0.38,54.34,-76.22666667,neutral.cogload,54.72
1,41,54.15,61.51,54.34,54.72,56.23,50.19,13.33333333,7.426666667,ingroup.cogload,21.13
1,43,100,100,100,0,0,0,100,-100,outgroup.cogload,21.13
1,20,99.43,95.85,79.62,57.36,10.75,33.02,83.26666667,-32.58,ingroup.baseline,49.81
1,27,58.87,64.34,52.83,8.11,8.11,0,17.36,-89.18666667,outgroup.baseline,80
1,29,70,57.17,60.38,44.72,37.36,31.7,25.03333333,-24.14666667,ingroup.cogload,18.11
1,25,70.75,70.94,60,49.25,49.81,29.25,34.46,-14.46,neutral.cogload,42.64
1,21,50.66,75.33,32.96,38.23,26.18,9.79,5.966666667,-50.53333333,outgroup.baseline,37.85
1,25,100,100,100,16.79,0,0,100,-88.80666667,ingroup.baseline,24.91
1,26,78.11,75.28,25.85,44.15,22.64,8.49,19.49333333,-49.81333333,outgroup.baseline,78.49
1,31,63.4,43.4,36.42,37.36,20.94,15.66,-4.52,-50.69333333,ingroup.cogload,44.15
1,28,84.72,78.87,76.79,20,13.21,3.21,60.25333333,-75.72,outgroup.baseline,40.75
1,26,92.06,91.3,91.68,18.15,18.52,17.77,83.36,-63.70666667,neutral.baseline,79.97
1,34,87.55,79.25,72.64,3.21,9.25,0,59.62666667,-91.69333333,outgroup.cogload,43.4
1,25,58.68,63.77,40.57,59.43,51.7,19.81,8.68,-12.70666667,ingroup.baseline,49.43
1,21,89.43,78.11,87.17,52.26,39.25,22.45,69.80666667,-24.02666667,neutral.baseline,41.51
1,27,59.43,55.47,49.62,43.4,47.55,49.43,9.68,-6.413333333,outgroup.baseline,41.51
