rating,peer.rank,condition,gender,age,ingroup.value,ingroup.like,ingroup.connected,outgroup.value,outgroup.like,outgroup.connected,ingroup.average,outgroup.average,peer.rank2
-40.38,16,buddhist,2,24,67.36,75.66,43.58,71.89,64.15,40,24.4,17.36,-68
-29.94,64,buddhist,1,19,62.15,59.89,51.79,63.65,32.77,39.36,15.88666667,-9.48,28
-26.42,50,neutral,1,28,62.64,39.06,42.64,26.04,15.09,24.72,-3.773333333,-56.1,0
-23.02,43,buddhist,2,32,70.75,74.72,93.4,36.42,23.21,21.13,59.24666667,-46.16,-14
-20.38,40,buddhist,1,23,92.08,87.92,88.68,72.64,66.79,70,79.12,39.62,-20
-18.11,61,neutral,1,34,55.66,47.36,44.34,56.98,43.21,45.85,-1.76,-2.64,22
-13.58,50,buddhist,2,30,29.62,62.45,18.11,30.94,31.7,9.81,-26.54666667,-51.7,0
-8.13,48,buddhist,1,56,42.69,52.89,51.92,54.23,46.54,45.58,-1.666666667,-2.433333333,-4
-2.82,51,buddhist,1,32,74.2,85.69,79.28,25.99,25.99,23.92,59.44666667,-49.4,2
-1.13,14,buddhist,2,59,100,91.32,100,0,0,0,94.21333333,-100,-72
-0.75,50,buddhist,2,47,83.21,83.77,63.02,3.02,3.4,3.02,53.33333333,-93.70666667,0
-0.75,1,buddhist,1,35,56.79,57.17,17.74,6.6,6.98,1.51,-12.2,-89.94,-98
-0.75,0,buddhist,2,24,100,100,100,0,0,0,100,-100,-100
-0.56,31,buddhist,2,29,59.89,58.95,56.87,57.25,57.06,56.87,17.14,14.12,-38
-0.38,20,buddhist,2,62,54.72,65.28,46.98,54.91,42.45,33.96,11.32,-12.45333333,-60
-0.19,9,buddhist,1,28,74.71,71.21,70.23,33.46,28.79,33.27,44.1,-36.32,-82
0,0,buddhist,2,48,70.75,69.81,63.58,51.32,42.26,19.81,36.09333333,-24.40666667,-100
0,50,buddhist,1,24,100,100,100,0,0,0,100,-100,0
0,3,outgroup,1,26,58.3,58.11,50,37.92,37.92,17.55,10.94,-37.74,-94
0.38,50,ingroup,1,21,100,100,100,50,50,50,100,0,0
