party,gender,age,ingroup.value,ingroup.like,ingroup.connected,outgroup.value,outgroup.like,outgroup.connected,ingroup.average,outgroup.average,condition,rating,date
1,2,43,59.23,53.46,35.77,52.89,33.65,0,-1.026666667,-42.30666667,ingroup.win,100,
1,2,24,90.19,82.5,89.42,0,0.19,0,74.74,-99.87333333,neutral.loss,97.732,
1,1,38,60.27,60.65,60.46,33.4,33.59,32.82,20.92,-33.46,ingroup.win,41.132,
1,2,60,100,74.42,50,78.46,0,0,49.61333333,-47.69333333,outgroup.loss,100,
1,2,35,59.5,67.56,45.87,58.73,46.45,35.7,15.28666667,-6.08,neutral.win,81.509,
1,2,22,64.46,68.77,96.46,13.39,13.69,0.92,53.12666667,-81.33333333,ingroup.loss,100,
1,2,23,37.31,36.92,29.62,0,0,0,-30.76666667,-100,ingroup.loss,100,
1,2,45,100,100,100,0,0,0,100,-100,ingroup.loss,80,
1,2,22,91.54,74.04,85.96,0,19.62,0,67.69333333,-86.92,outgroup.win,100,
1,1,24,40.77,65.19,66.15,14.23,19.04,0,14.74,-77.82,neutral.win,59.924,
1,2,27,76.15,100,77.69,4.62,4.81,0,69.22666667,-93.71333333,ingroup.win,100,
1,1,32,11.54,2.69,0,0,0,0,-90.51333333,-100,ingroup.win,85.255,
1,1,28,80,68.65,65.19,0,0,0,42.56,-100,ingroup.win,83.743,
1,2,21,73.46,61.73,66.15,26.54,13.65,0,34.22666667,-73.20666667,ingroup.loss,61.06,
1,2,64,99.42,91.36,100,0,0,0,93.85333333,-100,outgroup.win,95.849,
1,2,34,82.92,82.92,75.54,0,0,0,60.92,-100,outgroup.win,81.361,
1,1,32,78.12,72.17,71.98,2.5,0,0.58,48.18,-97.94666667,outgroup.win,96.604,
1,2,33,66.92,28.65,29.23,17.31,0,0,-16.8,-88.46,outgroup.loss,100,
1,1,35,77.21,79.62,78.49,0,0,0,56.88,-100,outgroup.win,100,
1,1,39,77.31,90,64.23,0,0,0,54.36,-100,ingroup.win,100,
1,2,19,56.92,53.08,57.69,13.65,14.81,16.54,11.79333333,-70,ingroup.win,62.193,
1,1,33,79.46,83.3,66.6,0,0,0,52.90666667,-100,ingroup.loss,86.04,
1,1,32,66.6,66.8,66.41,26.1,25.72,0,33.20666667,-65.45333333,ingroup.loss,60.38,
1,1,39,90.77,90,91.73,10.19,7.31,0,81.66666667,-88.33333333,outgroup.win,100,
1,2,21,70,65.39,42.31,33.39,24.46,7.23,18.46666667,-56.61333333,neutral.win,31.361,
1,2,27,72.5,74.42,61.35,0,0,0,38.84666667,-100,outgroup.loss,100,
1,2,21,85.77,63.08,64.62,40,24.62,11.54,42.31333333,-49.22666667,neutral.loss,41.021,
1,2,39,53.85,58.85,55.39,26.35,34.81,9.23,12.06,-53.07333333,neutral.loss,53.497,
1,2,33,71.73,72.31,72.12,22.69,8.08,0,44.10666667,-79.48666667,neutral.win,61.059,
1,2,30,91.15,89.04,66.54,1.92,1.15,0.39,64.48666667,-97.69333333,ingroup.win,80.34,
1,2,30,80.15,86.77,85.54,61.85,36.31,7.85,68.30666667,-29.32666667,outgroup.win,100,
1,2,28,75.19,75.58,61.35,5.58,3.85,0,41.41333333,-93.71333333,outgroup.loss,81.474,
1,1,25,56.15,55.77,55.58,43.85,45.58,43.85,11.66666667,-11.14666667,neutral.loss,23.629,
1,2,22,62.96,61.42,49.9,38.58,38,0,16.18666667,-48.94666667,neutral.loss,33.585,
1,2,27,73.51,67.37,73.51,60.46,59.31,53.36,42.92666667,15.42,neutral.win,93.962,
1,1,21,100,100,100,56.92,56.54,39.42,100,1.92,ingroup.loss,100,
1,2,30,77.93,77.54,50.1,0,0,0,37.04666667,-100,neutral.win,20.377,
1,1,27,86.15,21.73,67.31,23.27,17.5,10.96,16.79333333,-65.51333333,neutral.loss,100,
1,1,38,83.27,82.69,82.12,0,0,0,65.38666667,-100,ingroup.win,100,
1,1,21,48.27,50,50,36.35,14.23,15,-1.153333333,-56.28,ingroup.loss,94.33,
1,2,62,100,100,100,55.77,51.15,30.58,100,-8.333333333,ingroup.loss,100,
1,2,30,56.26,55.88,56.26,6.94,7.13,7.9,12.26666667,-85.35333333,neutral.win,49.905,
1,1,43,41.73,41.15,21.73,0,0.19,0,-30.26,-99.87333333,outgroup.win,93.573,
1,1,24,100,100,100,0,0,0,100,-100,neutral.win,100,
1,1,41,76.15,38.46,26.92,49.42,5.77,41.15,-5.646666667,-35.77333333,neutral.loss,41.399,
1,2,34,0,23.08,0,0,0,0,-84.61333333,-100,outgroup.win,100,
1,1,31,66.51,65.13,64.82,0.61,0.46,0.15,30.97333333,-99.18666667,neutral.win,39.053,
1,1,31,100,100,100,0,0,0,100,-100,ingroup.win,100,
1,2,57,99.42,89.23,89.81,8.65,24.23,0,85.64,-78.08,neutral.win,90.926,
1,1,26,81.35,83.27,84.81,27.89,19.42,24.23,66.28666667,-52.30666667,outgroup.loss,-60.681,
1,1,23,51.15,54.62,47.5,50,50.96,50,2.18,0.64,ingroup.win,-3.214,
1,2,18,100,100,100,7.29,0.58,2.11,100,-93.34666667,neutral.loss,81.509,
1,1,25,82.89,83.46,87.31,48.27,50.19,49.04,69.10666667,-1.666666667,ingroup.win,59.168,
1,2,27,87.31,88.27,89.04,60,60,59.62,76.41333333,19.74666667,outgroup.win,100,
1,1,28,87.69,79.81,75.58,34.62,19.62,28.85,62.05333333,-44.60666667,ingroup.win,17.958,
1,2,24,62.31,70.19,75.77,64.04,64.23,69.23,38.84666667,31.66666667,neutral.loss,44.045,
1,1,36,100,87.69,87.89,100,64.81,65,83.72,53.20666667,neutral.loss,61.437,
1,1,27,50,50,50,5.39,4.62,5,0,-89.99333333,ingroup.loss,38.37,
1,1,35,100,100,78.27,0,0,14.62,85.51333333,-90.25333333,neutral.win,72.779,
