gender,age,ingroup.value,ingroup.like,ingroup.connected,outgroup.value,outgroup.like,outgroup.connected,ingroup.average,outgroup.average,condition,rating
1,29,72.5,85.68,94.36,-64.98,-77.02,-88.7,84.18,-76.9,experiencer,100
1,31,84.52,80,75.48,-96.22,-96.6,-97.36,80,-96.72666667,experiencer,60.38
1,31,40.78,36.92,29.62,17.7,-15.38,-39.62,35.77333333,-12.43333333,neutral,35.73
1,31,73.2,74.72,74.34,-100,-100,-100,74.08666667,-100,self,100
1,24,-13.2,-13.2,-61.5,-92.08,-99.62,-99.62,-29.3,-97.10666667,ingroup,36.23
1,25,51.7,84.16,68.3,-30.94,-63.4,-62.26,68.05333333,-52.2,neutral,30.94
1,31,38.86,68.3,51.32,-79.24,-91.7,-96.6,52.82666667,-89.18,ingroup,62.26
1,19,97.74,97.74,97.36,75.14,74.76,75.14,97.61333333,75.01333333,neutral,40.87
1,36,26.8,57.36,43.4,-35.84,-29.06,-42.26,42.52,-35.72,outgroup,23.02
1,31,48.02,100,66.48,-37.86,-97.36,-94.72,71.5,-76.64666667,experiencer,100
1,33,29.2,45,43.5,-37.48,-50.28,-67.24,39.23333333,-51.66666667,outgroup,35.22
1,39,33.72,21.38,-33.34,31.4,-55.68,-86.12,7.253333333,-36.8,outgroup,33.33
1,25,77.74,76.98,46.04,-100,-100,-100,66.92,-100,experiencer,61.51
1,19,20,-23.78,-33.58,28.68,16.22,-13.96,-12.45333333,10.31333333,self,10.94
1,40,100,99.62,100,-100,-100,-100,99.87333333,-100,outgroup,95.09
1,47,41.7,76.9,19.3,-75.48,-91.64,-100,45.96666667,-89.04,experiencer,78.72
1,32,-51.04,-50.28,-49.9,-100,-100,-100,-50.40666667,-100,neutral,20.9
1,28,52.54,33.7,22.42,20.16,25.8,9.6,36.22,18.52,ingroup,19.4
1,29,10.18,0,0,0,0,0,3.393333333,0,ingroup,41.51
1,40,94.36,79.66,50.66,-77.02,-100,-67.98,74.89333333,-81.66666667,experiencer,40.87
1,28,-4.7,11.86,-5.84,-54.42,-26.18,-76.28,0.44,-52.29333333,ingroup,80.79
1,43,26.8,36.98,35.84,-29.06,-55.84,-82.26,33.20666667,-55.72,self,0.38
1,24,3.78,-4.52,4.16,-100,-100,-100,1.14,-100,experiencer,21.51
1,32,45.56,40.64,-10.78,-10.4,-90.54,-100,25.14,-66.98,outgroup,40.27
1,29,-53.3,-69.86,-82.68,-12.24,54.04,94.72,-68.61333333,45.50666667,outgroup,61.96
